File Name,Net Site EUI (kWh/m2),Net Site Energy (kWh),Net Source EUI (kWh/m2),Net Source Energy (kWh)
CZ02/ECC&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-out.sql,118.45,3127394.35,350.24,9247272.37
CZ02/EPr&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-out.sql,127.72,483454.08,348.30,1318430.90
CZ02/EPr&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-out.sql,126.95,480561.81,345.74,1308770.72
CZ02/EPr&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-out.sql,125.87,476471.92,342.13,1295110.48
CZ02/ERC&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-out.sql,85.34,22863.38,205.29,54996.18
CZ02/ERC&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-out.sql,84.80,22717.25,203.47,54508.08
CZ02/ERC&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-out.sql,84.01,22507.04,200.85,53805.99
CZ02/ESe&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-out.sql,208.42,1440674.74,567.96,3925836.38
CZ02/ESe&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-out.sql,207.91,1437106.14,566.23,3913877.47
CZ02/ESe&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-out.sql,207.18,1432045.40,563.78,3896997.23
CZ02/EUn&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-out.sql,129.49,10318785.20,406.29,32377640.22
CZ02/EUn&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-out.sql,128.62,10250018.77,403.41,32147784.25
CZ02/EUn&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-out.sql,127.38,10151190.79,399.26,31817571.70
CZ02/Hsp&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-out.sql,106.53,4889630.01,304.26,13965255.92
CZ02/Hsp&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-out.sql,106.27,4877700.53,303.38,13925000.36
CZ02/Hsp&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-out.sql,105.90,4860713.45,302.14,13867941.00
CZ02/MBT&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-out.sql,201.80,7498217.33,469.99,17463191.12
CZ02/MBT&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-out.sql,201.45,7485072.46,468.80,17418949.24
CZ02/MBT&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-out.sql,200.94,7466314.07,467.10,17355810.46
CZ02/MLI&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-out.sql,153.80,1429059.51,501.54,4660093.12
CZ02/MLI&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-out.sql,152.16,1413839.50,496.07,4609258.31
CZ02/MLI&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-out.sql,149.83,1392134.06,488.26,4536762.12
CZ02/Mtl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-out.sql,79.70,222029.86,259.31,722378.93
CZ02/Mtl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-out.sql,78.86,219700.12,256.51,714594.63
CZ02/Mtl&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-out.sql,77.67,216380.89,252.53,703501.77
CZ02/Nrs&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-out.sql,112.61,1161279.15,312.22,3219670.20
CZ02/Nrs&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-out.sql,112.19,1156891.95,310.79,3204909.93
CZ02/Nrs&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-out.sql,111.59,1150727.24,308.76,3183951.44
CZ02/OfL&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-out.sql,109.80,3569595.83,354.62,11528277.63
CZ02/OfL&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-out.sql,108.69,3533271.78,350.89,11407059.78
CZ02/OfL&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-out.sql,107.10,3481553.35,345.58,11234245.07
CZ02/OfS&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-out.sql,113.71,211319.93,352.10,654381.29
CZ02/OfS&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-out.sql,112.37,208847.41,347.66,646123.09
CZ02/OfS&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-out.sql,110.48,205329.69,341.34,634373.88
CZ02/RFF&0&rDXHP&Ex&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-out.sql,357.41,132691.49,912.67,338838.28
