,relpath,meas_group_vintage_combo,cz,cohort,techid,fileerr_exists,fileout_exists,timestamp,success,warnings,errors,hastempdir
137,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YT 1396kW_7.35COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1396kW_7.35COP_Vanes,True,True,2025.08.25 14:32,True,5275921,2,False
138,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YT 1403kW_6.94COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1403kW_6.94COP_VSD,True,True,2025.08.25 14:32,False,,,False
139,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YT 1459kW_6.40COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1459kW_6.40COP_VSD,True,True,2025.08.25 14:34,False,,,False
140,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YT 1495kW_7.51COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1495kW_7.51COP_VSD,True,True,2025.08.25 14:35,False,,,False
141,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YT 1663kW_9.34COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1663kW_9.34COP_Vanes,True,True,2025.08.25 14:35,True,5282228,2,False
142,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YT 1758kW_5.76COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1758kW_5.76COP_VSD,True,True,2025.08.25 14:38,False,,,False
143,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YT 1758kW_5.96COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1758kW_5.96COP_Vanes,True,True,2025.08.25 14:38,True,5278419,2,False
144,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YT 1758kW_6.26COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1758kW_6.26COP_Vanes,True,True,2025.08.25 14:38,False,,,False
145,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YT 1758kW_6.28COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1758kW_6.28COP_Vanes,True,True,2025.08.25 14:38,True,5288666,2,False
146,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YT 1794kW_7.90COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1794kW_7.90COP_VSD,True,True,2025.08.25 14:40,True,5280528,2,False
147,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YT 1794kW_8.11COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1794kW_8.11COP_Vanes,True,True,2025.08.25 14:39,True,5280924,2,False
148,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YT 1867kW_10.09COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1867kW_10.09COP_Vanes,True,True,2025.08.25 14:41,True,5284638,2,False
149,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YT 1881kW_6.77COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1881kW_6.77COP_VSD,True,True,2025.08.25 14:41,True,5277574,2,False
150,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YT 1934kW_7.55COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1934kW_7.55COP_Vanes,True,True,2025.08.25 14:42,True,5281289,2,False
151,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YT 2110kW_7.15COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 2110kW_7.15COP_Vanes,True,True,2025.08.25 14:44,True,5281206,2,False
152,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YT 2233kW_9.54COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 2233kW_9.54COP_VSD,True,True,2025.08.25 14:45,True,5280808,2,False
153,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YT 3133kW_9.16COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 3133kW_9.16COP_Vanes,True,True,2025.08.25 14:50,True,5281234,2,False
154,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YT 563kW_10.61COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 563kW_10.61COP_Vanes,True,True,2025.08.25 14:22,True,5249074,2,False
155,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YT 897kW_6.27COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 897kW_6.27COP_VSD,True,True,2025.08.25 14:24,True,5276683,2,False
156,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YT 897kW_7.60COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 897kW_7.60COP_VSD,True,True,2025.08.25 14:23,True,5276861,2,False
157,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YT 960kW_4.64COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 960kW_4.64COP_Vanes,True,True,2025.08.25 14:24,True,5286524,2,False
