,relpath,meas_group_vintage_combo,cz,cohort,techid,fileerr_exists,fileout_exists,timestamp,success,warnings,errors,hastempdir
43,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 23XL 1196kW_6.39COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 23XL 1196kW_6.39COP_Valve,True,True,2025.08.25 14:26,True,5267568,2,False
44,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 23XL 686kW_5.91COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 23XL 686kW_5.91COP_Valve,True,True,2025.08.25 14:48,True,5283535,2,False
45,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 23XL 724kW_6.04COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 23XL 724kW_6.04COP_Vanes,True,True,2025.08.25 14:22,True,5282863,2,False
46,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 23XL 830kW_6.97COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 23XL 830kW_6.97COP_Valve,True,True,2025.08.25 14:42,True,5281955,2,False
47,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 23XL 862kW_6.11COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 23XL 862kW_6.11COP_Valve,True,True,2025.08.25 14:40,True,5282005,2,False
48,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 23XL 862kW_6.84COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 23XL 862kW_6.84COP_Valve,True,True,2025.08.25 14:39,True,5282845,2,False
49,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 23XL 865kW_6.05COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 23XL 865kW_6.05COP_Valve,True,True,2025.08.25 14:38,True,5285892,2,False
50,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller McQuay PEH 1030kW_8.58COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller McQuay PEH 1030kW_8.58COP_Vanes,True,True,2025.08.25 14:25,True,5256133,2,False
51,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller McQuay PEH 1104kW_8.00COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller McQuay PEH 1104kW_8.00COP_Vanes,True,True,2025.08.25 14:27,True,5266751,2,False
52,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller McQuay PEH 1231kW_6.18COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller McQuay PEH 1231kW_6.18COP_Vanes,True,True,2025.08.25 14:29,True,5287456,2,False
