File Name,Net Site EUI (kWh/m2),Net Source EUI (kWh/m2),Total Energy/Net Site Energy (kWh),Total Energy/Net Source Energy (kWh)
CZ09/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,35.65,87.03,31764.60,77558.37
CZ09/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,35.44,86.38,31580.60,76975.64
CZ09/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,35.36,86.13,31510.18,76752.62
CZ10/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,27.14,59.42,20873.83,45698.64
CZ10/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,27.08,59.23,20829.74,45559.01
CZ10/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,27.03,59.06,20786.65,45422.55
CZ10/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,27.00,58.99,20770.15,45370.29
CZ10/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,35.48,86.70,31614.11,77261.12
CZ10/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,35.27,86.06,31432.90,76687.23
CZ10/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,35.08,85.43,31257.14,76130.61
CZ10/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,35.00,85.19,31189.67,75916.92
CZ11/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,29.01,64.60,22310.19,49682.52
CZ11/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,28.89,64.23,22222.47,49404.73
CZ11/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,28.78,63.89,22139.19,49140.98
CZ11/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,28.74,63.76,22106.99,49038.99
CZ11/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,40.10,100.70,35732.41,89738.16
CZ11/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,39.73,99.53,35402.91,88694.64
CZ11/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,39.38,98.42,35090.49,87705.18
CZ11/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,39.24,97.99,34969.62,87322.39
CZ12/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,28.75,62.89,22109.85,48367.37
CZ12/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,28.67,62.65,22052.56,48185.91
CZ12/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,28.61,62.44,22002.01,48025.83
CZ12/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,28.58,62.36,21981.95,47962.31
CZ12/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,38.30,94.24,34128.77,83981.30
CZ12/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,38.05,93.47,33910.92,83291.39
CZ12/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,37.84,92.78,33716.62,82676.04
CZ12/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,37.75,92.50,33639.82,82432.82
CZ13/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,28.84,64.86,22178.21,49886.53
CZ13/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,28.71,64.46,22080.29,49576.41
CZ13/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,28.59,64.07,21986.05,49277.96
CZ13/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,28.54,63.92,21949.78,49163.09
CZ13/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,39.96,100.98,35610.68,89982.58
CZ13/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,39.57,99.74,35263.54,88883.18
CZ13/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,39.20,98.56,34930.20,87827.50
CZ13/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,39.05,98.10,34801.80,87420.84
CZ14/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,28.36,64.20,21814.93,49377.22
CZ14/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,28.25,63.85,21730.31,49109.23
CZ14/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,28.15,63.54,21654.11,48867.91
CZ14/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,28.12,63.41,21624.09,48772.86
CZ14/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,40.19,102.40,35814.29,91251.98
CZ14/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,39.82,101.23,35485.87,90211.86
CZ14/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,39.49,100.18,35188.73,89270.82
CZ14/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,39.36,99.76,35071.88,88900.76
CZ15/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,28.56,68.34,21968.94,52558.69
CZ15/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,28.33,67.59,21786.97,51982.40
CZ15/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,28.09,66.83,21602.98,51399.70
CZ15/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,28.00,66.54,21533.32,51179.08
CZ15/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,42.52,112.80,37888.72,100518.08
CZ15/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,41.85,110.69,37295.77,98640.22
CZ15/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,41.18,108.57,36698.19,96747.67
CZ15/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,40.93,107.76,36471.70,96030.37
CZ16/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,28.58,60.29,21978.13,46370.43
CZ16/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,28.55,60.20,21955.24,46297.93
CZ16/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,28.52,60.12,21936.23,46237.75
CZ16/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,28.51,60.09,21928.52,46213.33
CZ16/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,35.59,83.90,31717.16,74762.99
CZ16/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,35.49,83.58,31627.75,74479.83
CZ16/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,35.41,83.32,31553.85,74245.78
CZ16/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,35.37,83.21,31523.82,74150.66

File Name,Total (kWh),Heating (kWh),Cooling (kWh),Interior Lighting (kWh),Exterior Lighting (kWh),Interior Equipment (kWh),Exterior Equipment (kWh),Fans (kWh),Pumps (kWh),Heat Rejection (kWh),Humidification (kWh),Heat Recovery (kWh),Water Systems (kWh),Refrigeration (kWh),Generators (kWh),Heating Elec (kWh),Cooling Elec (kWh),Heating NG (kWh),Cooling NG (kWh),Interior Equipment Elec (kWh),Interior Equipment NG (kWh)
CZ01/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,22556.12,279.73,3.27,1375.06,457.71,10338.53,0.0,36.78,0.0,0.0,0.0,0.0,10065.03,0.0,0.0,279.73,3.27,0.00,0.00,8268.27,2070.26
CZ01/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,22547.76,271.56,3.08,1375.06,457.71,10338.53,0.0,36.78,0.0,0.0,0.0,0.0,10065.03,0.0,0.0,271.56,3.08,0.00,0.00,8268.27,2070.26
CZ01/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,22541.739999999998,265.74,2.88,1375.06,457.71,10338.53,0.0,36.78,0.0,0.0,0.0,0.0,10065.03,0.0,0.0,265.74,2.88,0.00,0.00,8268.27,2070.26
CZ01/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,22539.16,263.23,2.81,1375.06,457.71,10338.53,0.0,36.78,0.0,0.0,0.0,0.0,10065.03,0.0,0.0,263.23,2.81,0.00,0.00,8268.27,2070.26
CZ01/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,31002.840000000004,998.85,14.05,2643.29,457.71,16701.91,0.0,132.14,0.0,0.0,0.0,0.0,10054.88,0.0,0.0,998.85,14.05,0.00,0.00,13440.28,3261.63
CZ01/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,30972.85,969.69,13.22,2643.29,457.71,16701.91,0.0,132.14,0.0,0.0,0.0,0.0,10054.88,0.0,0.0,969.69,13.22,0.00,0.00,13440.28,3261.63
CZ01/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,30951.22,948.91,12.38,2643.29,457.71,16701.91,0.0,132.14,0.0,0.0,0.0,0.0,10054.88,0.0,0.0,948.91,12.38,0.00,0.00,13440.28,3261.63
